asin,name,brand,price,ratings,image,srcset,url
B0162YDDI8,Vestido Fruncido Plisado Moda,KRISP,"15,99 €","4,1 de 5 estrellas",https://m.media-amazon.com/images/I/81PFLvcSpFL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/81PFLvcSpFL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/81PFLvcSpFL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/81PFLvcSpFL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/81PFLvcSpFL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/81PFLvcSpFL._AC_UL960_QL65_.jpg 3x",/KRISP-Vestido-Corto-Fruncido-9354-RED-14/dp/B0162YDDI8/ref=sr_1_38?dchild=1&qid=1593188323&s=apparel&sr=1-38
B07QBYK387,"Vestido Suelto,sin Mangas,Falda del Tanque,sin Mangas del Tanque del Chaleco,Tamaño Grande,Vestido de Sol Impresa,Vestido Coctel Fiesta Noche y Playa Vacation",S.CHARMA-Ropa de primavera y verano,"17,23 €","3,6 de 5 estrellas",https://m.media-amazon.com/images/I/61QC22DoLlL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/61QC22DoLlL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/61QC22DoLlL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/61QC22DoLlL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/61QC22DoLlL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/61QC22DoLlL._AC_UL960_QL65_.jpg 3x",/Chaleco-Eslinga-Deportiva-Camiseta-Superior/dp/B07QBYK387/ref=sr_1_39?dchild=1&qid=1593188323&s=apparel&sr=1-39
B07R55M9W8,Mujer Vestidos Fiesta Largos Elegantes Tallas Grandes Vestidos Casual Playa Falda,Rojeam,"12,99 €","3,6 de 5 estrellas",https://m.media-amazon.com/images/I/61KWll2n5WL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/61KWll2n5WL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/61KWll2n5WL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/61KWll2n5WL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/61KWll2n5WL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/61KWll2n5WL._AC_UL960_QL65_.jpg 3x",/Rojeam-Vestido-Verano-s%C3%B3lido-Bolsillos/dp/B07R55M9W8/ref=sr_1_40?dchild=1&qid=1593188323&s=apparel&sr=1-40
B0861Q6W71,Mujer Vestido Fiesta Largo Manga Corta Floral Print Casual Verano Maxi Vestidos Playa Vacaciones,UUAISSO,"19,97 €","4,1 de 5 estrellas",https://m.media-amazon.com/images/I/71n1vQWkpWL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71n1vQWkpWL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71n1vQWkpWL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71n1vQWkpWL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71n1vQWkpWL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71n1vQWkpWL._AC_UL960_QL65_.jpg 3x",/UUAISSO-Vestido-Vestidos-Vacaciones-D-Azul-Manga/dp/B0861Q6W71/ref=sr_1_41?dchild=1&qid=1593188323&s=apparel&sr=1-41
B07YRDK4ZS,Marca Amazon - find. Vestido Midi Camisero de Flores Mujer,find.,"29,40 €","4,4 de 5 estrellas",https://m.media-amazon.com/images/I/91Aq25jhLvL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/91Aq25jhLvL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/91Aq25jhLvL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/91Aq25jhLvL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/91Aq25jhLvL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/91Aq25jhLvL._AC_UL960_QL65_.jpg 3x",/Marca-Amazon-Vestido-Camisero-Multicolor/dp/B07YRDK4ZS/ref=sr_1_42?dchild=1&qid=1593188323&s=apparel&sr=1-42
B07MH15VN9,Marca Amazon - find. Vestido Corto Cruzado de Algodón Mujer,find.,"26,76 €","3,4 de 5 estrellas",https://m.media-amazon.com/images/I/71gjZkwTM0L._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71gjZkwTM0L._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71gjZkwTM0L._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71gjZkwTM0L._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71gjZkwTM0L._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71gjZkwTM0L._AC_UL960_QL65_.jpg 3x",/find-Mujer-Vestido-Cruzado-Algod%C3%B3n/dp/B07MH15VN9/ref=sr_1_43?dchild=1&qid=1593188323&s=apparel&sr=1-43
B07PBWKGFJ,Marca Amazon - find. Vestido Midi de Satén Mujer,find.,"12,93 €","3,8 de 5 estrellas",https://m.media-amazon.com/images/I/71+VPrz6KJL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71+VPrz6KJL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71+VPrz6KJL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71+VPrz6KJL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71+VPrz6KJL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71+VPrz6KJL._AC_UL960_QL65_.jpg 3x",/find-An7523-vestidos-VALIANT-fabricante/dp/B07PBWKGFJ/ref=sr_1_44?dchild=1&qid=1593188323&s=apparel&sr=1-44
B07NVDBMPT,Vestido Mujer Mujeres Verano Manga Corta Floral Bolsillos Impresos Vestido de oscilación Ocasional de Sundress,VEMOW,"10,24 €","3,1 de 5 estrellas",https://m.media-amazon.com/images/I/71U5i7McfnL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71U5i7McfnL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71U5i7McfnL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71U5i7McfnL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71U5i7McfnL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71U5i7McfnL._AC_UL960_QL65_.jpg 3x",/VEMOW-Bolsillos-Impresos-oscilaci%C3%B3n-Ocasional/dp/B07NVDBMPT/ref=sr_1_45?dchild=1&qid=1593188323&s=apparel&sr=1-45
B07JN9JNWH,Vestido sin mangas para mujer,Amazon Essentials,"7,63 €","4,5 de 5 estrellas",https://m.media-amazon.com/images/I/71SvfrWd75L._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71SvfrWd75L._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71SvfrWd75L._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71SvfrWd75L._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71SvfrWd75L._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71SvfrWd75L._AC_UL960_QL65_.jpg 3x",/Amazon-Essentials-Swing-Dress-Burgundy/dp/B07JN9JNWH/ref=sr_1_46?dchild=1&qid=1593188323&s=apparel&sr=1-46
B07TNH8PF6,Mujer Verano Flamenco Camisola Vestido De Playa Top Sin Mangas Trapecio O Corte En A Vestido Oeste,Ocean Plus,"10,99 €","3,6 de 5 estrellas",https://m.media-amazon.com/images/I/61R16BIjlSL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/61R16BIjlSL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/61R16BIjlSL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/61R16BIjlSL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/61R16BIjlSL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/61R16BIjlSL._AC_UL960_QL65_.jpg 3x",/Ocean-Plus-Flamenco-Camisola-Salpicaduras/dp/B07TNH8PF6/ref=sr_1_47?dchild=1&qid=1593188323&s=apparel&sr=1-47
